!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
5.23299e+06   1.00000e+00   4.30103e+00   1.10795e+00   9.67873e-01   
5.62341e+06   1.00000e+00   4.30103e+00   1.10778e+00   9.67873e-01   
6.04296e+06   1.00000e+00   4.30103e+00   1.10760e+00   9.67873e-01   
6.49382e+06   1.00000e+00   4.30103e+00   1.10742e+00   9.67873e-01   
6.97831e+06   1.00000e+00   4.30103e+00   1.10722e+00   9.67873e-01   
7.49894e+06   1.00000e+00   4.30103e+00   1.10701e+00   9.67873e-01   
8.05842e+06   1.00000e+00   4.30103e+00   1.10680e+00   9.67873e-01   
8.65964e+06   1.00000e+00   4.30103e+00   1.10658e+00   9.67873e-01   
9.30572e+06   1.00000e+00   4.30103e+00   1.10635e+00   9.67873e-01   
1.00000e+07   1.00000e+00   4.30103e+00   1.10612e+00   9.67872e-01   
1.07461e+07   1.00000e+00   4.30103e+00   1.10588e+00   9.67872e-01   
1.15478e+07   1.00000e+00   4.30103e+00   1.10565e+00   9.67872e-01   
1.24094e+07   1.00000e+00   4.30103e+00   1.10541e+00   9.67872e-01   
1.33352e+07   1.00000e+00   4.30103e+00   1.10517e+00   9.67872e-01   
1.43301e+07   1.00000e+00   4.30103e+00   1.10493e+00   9.67872e-01   
1.53993e+07   1.00000e+00   4.30103e+00   1.10469e+00   9.67872e-01   
1.65482e+07   1.00000e+00   4.30103e+00   1.10447e+00   9.67872e-01   
1.77828e+07   1.00000e+00   4.30103e+00   1.10424e+00   9.67871e-01   
1.91095e+07   1.00000e+00   4.30103e+00   1.10403e+00   9.67871e-01   
2.05353e+07   1.00000e+00   4.30103e+00   1.10383e+00   9.67871e-01   
2.20673e+07   1.00000e+00   4.30103e+00   1.10365e+00   9.67871e-01   
2.37137e+07   1.00000e+00   4.30103e+00   1.10349e+00   9.67871e-01   
2.54830e+07   1.00000e+00   4.30103e+00   1.10335e+00   9.67871e-01   
2.73842e+07   1.00000e+00   4.30103e+00   1.10325e+00   9.67871e-01   
2.94273e+07   1.00000e+00   4.30103e+00   1.10327e+00   9.67871e-01   
3.16228e+07   1.00000e+00   4.30103e+00   1.10364e+00   9.67871e-01   
3.39821e+07   1.00000e+00   4.30103e+00   1.10389e+00   9.67871e-01   
3.65174e+07   1.00000e+00   4.30103e+00   1.10401e+00   9.67871e-01   
3.92419e+07   1.00000e+00   4.30103e+00   1.10411e+00   9.67871e-01   
4.21697e+07   1.00000e+00   4.30103e+00   1.10421e+00   9.67871e-01   
4.53158e+07   1.00000e+00   4.30103e+00   1.10432e+00   9.67871e-01   
4.86968e+07   1.00000e+00   4.30103e+00   1.10443e+00   9.67872e-01   
5.23299e+07   1.00000e+00   4.30103e+00   1.10454e+00   9.67872e-01   
5.62341e+07   1.00000e+00   4.30103e+00   1.10465e+00   9.67872e-01   
6.04296e+07   1.00000e+00   4.30103e+00   1.10475e+00   9.67872e-01   
6.49382e+07   1.00000e+00   4.30103e+00   1.10485e+00   9.67872e-01   
6.97831e+07   1.00000e+00   4.30103e+00   1.10495e+00   9.67872e-01   
7.49894e+07   1.00000e+00   4.30103e+00   1.10504e+00   9.67872e-01   
8.05842e+07   1.00000e+00   4.30103e+00   1.10512e+00   9.67872e-01   
8.65964e+07   1.00000e+00   4.30103e+00   1.10519e+00   9.67872e-01   
9.30572e+07   1.00000e+00   4.30103e+00   1.10525e+00   9.67872e-01   
1.00000e+08   1.00000e+00   4.30103e+00   1.10530e+00   9.67872e-01   
